READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2021-10-18,63.80010795367713,29.1,22.7,32.1,59.0,20.0,1009.8,28.1,82.0,33.0,6.5,49.970017130363324,66.60641291778676,59.00576701181236,-9.035749881449036
2021-10-19,64.54955063038652,28.5,24.8,33.5,89.0,12.3,1012.0,28.2,81.0,0.0,11.2,51.03220489794423,64.67692993413448,59.00883298004963,-7.9766280821054
2021-10-20,65.64403677653956,30.1,25.7,36.2,153.0,11.3,1011.3,29.5,76.0,0.0,9.1,52.236718115589184,66.47489578551277,59.01189457475088,-6.775176459161699
2021-10-21,52.74548993265808,29.5,25.4,35.4,146.0,11.4,1010.3,29.2,76.0,0.0,9.5,52.93345161461221,62.391115031539606,59.01495178862692,-6.081500174014707
2021-10-22,60.85472464526257,29.4,25.6,36.4,161.0,12.2,1010.6,30.1,74.0,0.0,9.8,53.790427962038976,57.831975502123925,59.01800461432745,-5.227576652288477
2021-10-23,60.85472464526257,28.7,24.4,33.4,148.0,10.8,1010.6,28.5,72.0,0.0,10.4,54.479777680072274,60.29071467906595,59.021053044447406,-4.541275364375132
2021-10-24,57.66233760105732,28.8,22.8,32.2,168.0,10.8,1009.6,27.7,68.0,0.0,10.2,55.76759327113557,59.44142548039623,59.02409707153456,-3.2565038003989955
2021-10-25,59.48484122783807,28.9,25.2,33.2,155.0,10.0,1009.0,29.0,77.0,0.0,9.8,57.07624669352727,60.17488263199021,59.02713668809572,-1.9508899945684561
2021-10-26,65.97737588665815,28.2,25.6,34.4,122.0,9.0,1009.1,27.8,84.0,0.0,10.4,58.50842472151328,56.74952815132066,59.03017188660836,-0.5217471650950785
2021-10-27,61.89151490686874,27.4,24.6,33.0,132.0,7.5,1009.7,27.1,86.0,15.1,7.8,59.743128553412845,68.05528084727429,59.033202659532364,0.7099258938804809
2021-10-28,55.49553714451461,27.7,24.2,34.2,138.0,8.1,1009.5,27.5,84.0,5.0,6.6,60.69256969831784,61.13523061032154,59.036228999322915,1.6563406989949243
2021-10-29,67.64091236840936,28.9,24.2,33.3,129.0,9.1,1010.0,28.4,82.0,4.5,6.5,61.821285238123636,59.580364718807765,59.03925089844161,2.7820343396820277
2021-10-30,72.67849956781474,28.1,25.4,34.2,120.0,8.8,1010.6,29.0,81.0,3.0,10.1,62.48313790781986,62.269881947220284,59.04226834936493,3.440869558454928
2021-10-31,69.99828669739179,27.6,24.4,32.1,114.0,8.1,1010.0,28.2,82.0,6.6,6.0,63.00820144969904,70.94934703032264,59.04528134459448,3.9629201051045584
