Tanggal,Tavg,RH_avg,RR,ss
2019-09-05,25.8,71.0,0.0,9.7
2019-09-06,26.1,70.0,0.0,9.2
2019-09-07,26.7,72.0,0.0,10.0
2019-09-08,27.5,67.0,0.0,9.7
2019-09-09,26.6,70.0,0.0,7.6
2019-09-10,27.2,61.0,0.0,10.4
2019-09-11,27.2,58.0,0.0,10.8
2019-09-12,25.2,64.0,0.0,10.6
2019-09-13,26.7,70.0,0.0,7.8
2019-09-14,27.3,67.0,0.0,10.3
2019-09-15,26.8,68.0,0.0,10.2
2019-09-16,25.8,70.0,0.0,10.5
2019-09-17,26.3,76.0,0.0,10.2
2019-09-18,27.1,70.0,0.0,9.9
2019-09-19,26.5,71.0,0.0,10.4
2019-09-20,27.6,70.0,0.0,10.3
2019-09-21,26.9,72.0,0.0,10.5
2019-09-22,26.8,71.0,0.0,10.3
2019-09-23,26.7,72.0,0.0,10.5
2019-09-24,27.6,72.0,0.0,10.5
2019-09-25,26.7,77.0,0.0,10.5
2019-09-26,27.1,74.0,0.0,10.7
2019-09-27,27.9,73.0,6.0,9.9
2019-09-28,28.3,66.0,0.0,10.4
2019-09-29,27.7,70.0,0.0,8.0
2019-09-30,28.1,68.0,0.0,10.7
2019-10-01,28.7,63.0,0.0,10.8
2019-10-02,27.6,74.0,0.0,11.0
2019-10-03,27.5,75.0,0.0,11.2
2019-10-04,27.9,56.0,0.0,11.1
2019-10-05,25.8,73.0,0.0,8.0
2019-10-06,27.6,66.0,0.0,11.1
2019-10-07,27.7,72.0,0.0,11.1
2019-10-08,28.3,68.0,0.0,10.9
2019-10-09,27.9,64.0,0.0,11.1
2019-10-10,27.6,71.0,0.0,11.0
2019-10-11,28.0,74.0,0.0,8.0
2019-10-12,28.2,63.0,0.0,11.1
2019-10-13,28.7,66.0,0.0,11.0
2019-10-14,27.0,62.0,0.0,11.1
2019-10-15,28.9,67.0,0.0,10.7
2019-10-16,27.5,66.0,0.0,10.7
2019-10-17,27.8,64.0,0.0,8.0
2019-10-18,28.3,64.0,0.0,11.3
2019-10-19,28.6,68.0,0.0,11.5
2019-10-20,28.1,71.0,0.0,11.7
2019-10-21,28.9,70.0,0.0,11.4
2019-10-22,27.6,71.0,0.0,11.5
2019-10-23,28.2,65.0,0.0,11.5
2019-10-24,27.8,69.0,0.0,11.3
2019-10-25,29.1,66.0,0.0,11.5
2019-10-26,28.9,69.0,0.0,11.1
2019-10-27,29.2,66.0,0.0,11.2
2019-10-28,29.2,68.0,0.0,10.4
2019-10-29,27.9,68.0,0.0,7.4
2019-10-30,29.5,68.0,0.0,10.9
2019-10-31,29.7,68.0,0.0,10.8
2019-11-01,29.3,69.0,0.0,9.6
2019-11-02,27.7,78.0,0.0,8.2
2019-11-03,29.2,74.0,34.1,6.5
2019-11-04,28.9,70.0,0.0,8.8
2019-11-05,28.1,70.0,0.0,9.3
2019-11-06,27.8,76.0,0.0,11.1
2019-11-07,29.0,70.0,0.0,11.6
2019-11-08,29.6,70.0,0.0,11.3
2019-11-09,29.9,70.0,0.0,9.1
2019-11-10,29.9,68.0,0.0,10.2
2019-11-11,29.7,75.0,4.5,11.0
2019-11-12,29.7,73.0,0.0,10.8
2019-11-13,29.1,77.0,0.0,11.4
2019-11-14,28.7,74.0,0.0,9.2
2019-11-15,28.3,70.0,0.0,11.8
2019-11-16,28.7,74.0,0.0,7.2
2019-11-17,29.8,68.0,0.0,11.5
2019-11-18,30.3,66.0,0.0,11.9
2019-11-19,29.0,76.0,0.0,11.4
2019-11-20,28.5,75.0,0.0,8.9
2019-11-21,29.0,73.0,0.0,9.1
2019-11-22,29.0,77.0,0.0,9.9
2019-11-23,29.0,77.0,9.45,9.7
2019-11-24,29.2,72.0,18.9,9.5
2019-11-25,29.0,72.0,0.0,8.8
2019-11-26,28.4,70.0,0.0,8.2
2019-11-27,29.0,75.0,0.0,11.5
2019-11-28,28.6,74.0,0.0,8.9
2019-11-29,29.7,73.0,0.0,9.1
2019-11-30,28.9,76.0,0.0,9.4
2019-12-01,29.4,76.0,0.0,8.5
2019-12-02,28.7,69.0,0.0,11.5
2019-12-03,29.3,72.0,0.0,11.2
2019-12-04,29.7,72.0,0.0,11.4
2019-12-05,29.5,76.0,0.0,3.0
2019-12-06,28.6,80.0,1.5,9.1
2019-12-07,29.0,75.0,0.0,11.1
2019-12-08,30.0,75.0,0.0,9.4
2019-12-09,29.1,70.0,0.0,11.9
2019-12-10,29.3,68.0,0.0,9.6
2019-12-11,27.8,81.0,1.8,10.1
2019-12-12,28.1,76.0,6.2,9.7
2019-12-13,28.5,76.0,11.5,8.9
2019-12-14,29.1,76.0,0.0,7.5
2019-12-15,27.4,84.0,1.8,9.7
2019-12-16,27.4,82.0,0.4,6.5
2019-12-17,28.2,81.0,11.0,6.9
2019-12-18,28.1,82.0,1.5,7.3
2019-12-19,28.1,81.0,14.3,9.9
2019-12-20,28.0,77.0,0.0,8.4
2019-12-21,27.4,82.0,9.15,9.4
2019-12-22,28.1,80.0,18.3,9.2
2019-12-23,28.7,77.0,1.4,8.2
