KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,trend,seasonal,residual
19.735176114364023,26.2,24.3,30.8,139.0,6.6,1011.4,26.8,90.0,4.5,9.4,16.789893920129476,-0.18857138891549835,3.133853583150046
15.42063638800778,27.0,23.7,30.6,308.0,7.2,1012.0,26.7,86.0,2.25,2.5,17.251216839542742,-0.44125116096676553,-1.3893292905681962
17.805089941064793,27.2,23.5,31.2,185.0,7.7,1012.5,26.7,84.0,0.0,7.6,17.370221937512618,-0.1030000076245759,0.5378680111767511
18.118980798357388,26.7,24.0,30.4,57.0,6.9,1012.1,26.8,85.0,0.0,6.8,16.903789048804192,-0.12076585755613664,1.335957607109332
18.014239623975005,26.7,23.3,31.0,122.0,7.2,1011.1,26.5,85.0,0.0,6.7,17.190030399786913,0.2989579129809117,0.5252513112071802
15.984561432198603,26.9,23.1,32.2,133.0,7.3,1009.8,26.7,83.0,0.0,7.0,18.225767817719667,0.3080761707632548,-2.549282556284319
13.247839043661775,28.2,23.2,32.6,125.0,7.8,1008.9,27.3,82.0,0.0,9.3,18.88902803228603,0.2465543313188099,-5.887743319943066
21.738865571243057,28.3,24.0,32.3,131.0,7.1,1010.2,28.0,80.0,0.0,10.8,19.436392896110384,-0.18857138891549835,2.4910440640481717
22.670798313537063,29.1,24.5,35.0,130.0,7.5,1009.4,28.6,79.0,0.0,10.9,20.219922518595325,-0.44125116096676553,2.8921269559085028
22.44791144302933,28.5,24.5,34.0,126.0,7.3,1007.9,28.7,78.0,0.0,11.6,20.975750937251377,-0.1030000076245759,1.5751605134025293
21.950534845127866,28.2,24.8,33.2,120.0,7.2,1008.2,28.0,83.0,0.0,11.6,22.04105460127439,-0.12076585755613664,0.030246101409613008
23.498946981369585,28.3,24.8,32.8,81.0,7.1,1008.5,28.0,80.0,0.0,6.1,21.197415294324976,0.2989579129809117,2.0025737740636966
21.27536036279098,28.4,24.4,32.6,100.0,6.7,1008.5,27.8,82.0,0.0,8.9,20.30965533834947,0.3080761707632548,0.657628853678257
20.70496469182284,27.2,24.7,31.6,112.0,7.1,1008.2,27.4,83.0,6.15,8.4,20.917192320427493,0.2465543313188099,-0.45878195992346127
15.83339042259717,27.1,24.0,31.6,139.0,7.7,1008.3,26.8,86.0,12.3,9.6,22.113339464999232,-0.18857138891549835,-6.091377653486564
16.45647862170851,27.9,24.4,31.6,105.0,6.3,1008.3,27.2,85.0,0.0,8.9,21.95894139248936,-0.44125116096676553,-5.0612116098140865
26.70067031757551,26.2,24.2,30.0,15.0,7.4,1009.2,26.2,90.0,1.4,7.3,22.23773863821098,-0.1030000076245759,4.5659316869891065
30.32356485713004,25.4,24.0,28.7,344.0,5.7,1010.0,25.2,92.0,18.7,2.2,22.61948274853183,-0.12076585755613664,7.824847966154348
22.418160473800487,27.2,23.4,31.8,100.0,4.9,1010.2,26.6,83.0,18.4,0.0,23.377652506193755,0.2989579129809117,-1.2584499453741793
23.226941082842306,27.2,24.1,31.2,117.0,6.5,1010.4,27.0,83.0,0.0,4.1,24.447075432725562,0.3080761707632548,-1.5282105206465113
23.37717346406879,27.8,23.4,31.8,149.0,7.1,1010.2,27.3,78.0,0.0,6.1,23.551462303037805,0.2465543313188099,-0.4208431702878257
21.140578726230647,27.4,23.4,32.0,169.0,7.8,1009.7,27.1,82.0,3.5,10.8,21.901847959885053,-0.18857138891549835,-0.5726978447389082
23.942439107431174,27.8,23.7,31.6,117.0,6.9,1010.3,27.4,81.0,0.0,8.5,21.13236901899136,-0.44125116096676553,3.2513212494065806
20.4313784097612,25.8,23.9,30.7,138.0,6.4,1011.1,26.3,86.0,0.0,9.7,20.486219357276745,-0.1030000076245759,0.04815906010903209
18.776264455060776,27.0,23.4,31.7,135.0,6.7,1010.6,29.3,81.0,29.5,5.4,19.845815275152464,-0.12076585755613664,-0.9487849625355517
17.031807887544623,26.9,23.6,30.6,141.0,6.9,1009.0,26.4,84.0,0.0,2.8,19.725698812095608,0.2989579129809117,-2.9928488375318967
18.70389345084003,26.1,23.8,31.6,122.0,6.4,1008.4,26.1,88.0,0.0,5.0,18.991874692678337,0.3080761707632548,-0.5960574126015609
18.894344889198795,26.8,23.2,29.6,268.0,5.6,1008.9,26.1,88.0,0.6,2.0,19.224036839034156,0.2465543313188099,-0.5762462811541709
20.29976348483267,25.4,24.0,29.4,292.0,5.5,1008.7,26.0,92.0,1.6,5.2,19.219191517461336,-0.18857138891549835,1.2691433562868324
18.8056702715103,27.5,23.6,31.0,318.0,7.1,1007.5,27.0,88.0,10.0,2.6,19.537108176764157,-0.44125116096676553,-0.29018674428709
22.056513434251908,28.4,24.3,30.9,312.0,9.4,1007.3,27.2,87.0,10.9,8.2,19.939382788293074,-0.1030000076245759,2.22013065358341
18.74234720405103,27.9,25.3,30.0,311.0,9.6,1007.8,27.9,84.0,8.25,6.5,20.047289578832675,-0.12076585755613664,-1.1841765172255097
19.257224502664368,27.7,25.3,31.0,305.0,8.6,1008.4,27.8,85.0,5.6,2.1,19.7577278973956,0.2989579129809117,-0.7994613077121444
21.51981573154245,26.4,24.5,30.4,315.0,8.6,1008.3,26.6,87.0,73.9,5.2,20.303013819288957,0.3080761707632548,0.9087257414902395
19.64969242297601,26.6,23.8,31.2,316.0,7.4,1008.1,26.9,88.0,4.9,2.6,20.101652845716462,0.2465543313188099,-0.698514754059262
18.27283171477317,26.4,23.4,31.0,173.0,5.8,1009.4,26.3,93.0,40.0,2.4,20.482602720703852,-0.18857138891549835,-2.021199617015185
22.62267172476375,26.4,23.7,30.8,125.0,6.8,1010.8,25.9,90.0,37.8,5.0,20.61580554911904,-0.44125116096676553,2.4481173366114755
20.64698661924447,26.4,23.8,30.7,125.0,6.4,1011.3,26.3,88.0,9.3,7.6,20.92082688686781,-0.1030000076245759,-0.17084025999876612
21.408996328962747,26.9,22.6,31.0,132.0,6.8,1010.3,28.7,85.0,6.4,5.4,21.468407525383757,-0.12076585755613664,0.06135466113512664
20.1896443015707,27.9,23.6,31.8,129.0,6.4,1009.2,27.3,76.0,0.0,6.8,22.229141030954572,0.2989579129809117,-2.338454642364786
23.65496509578384,27.6,23.9,32.4,130.0,7.2,1009.1,27.3,82.0,0.0,7.7,21.7276574892676,0.3080761707632548,1.6192314357529858
23.482756892587627,28.0,24.0,33.4,137.0,7.0,1009.9,28.1,82.0,0.0,9.1,21.936570407812404,0.2465543313188099,1.2996321534564133
23.5979662537689,27.2,23.0,32.9,125.0,6.9,1010.2,27.0,77.0,0.0,8.1,22.017513013541603,-0.18857138891549835,1.7690246291427945
19.11228693295492,26.8,23.8,33.0,125.0,6.6,1010.1,26.1,85.0,0.1,8.2,22.198363236824285,-0.44125116096676553,-2.6448251429026
22.10937704905811,27.1,23.2,32.8,115.0,7.0,1010.4,26.8,83.0,1.6,4.4,21.932890771598263,-0.1030000076245759,0.2794862850844236
21.975594569067137,27.2,24.1,32.0,119.0,6.5,1010.3,27.3,82.0,0.0,5.8,21.721286943446728,-0.12076585755613664,0.3750734831765462
21.45559586454948,26.8,24.2,31.4,120.0,6.2,1010.0,26.1,88.0,0.0,5.1,21.40577775045719,0.2989579129809117,-0.24913979888862214
