,Tanggal,Tavg,RH_avg,RR,ss
396,2020-02-01,26.7,88.0,0.0,4.1
398,2020-02-03,26.9,78.0,0.0,6.0
399,2020-02-04,27.9,75.0,0.0,10.4
400,2020-02-05,27.2,76.0,0.0,10.7
401,2020-02-06,27.7,82.0,0.0,11.1
402,2020-02-07,27.8,84.0,0.0,10.4
404,2020-02-09,26.6,86.0,0.0,4.7
406,2020-02-11,26.0,90.0,2.6,7.8
408,2020-02-13,26.5,88.0,0.0,10.1
410,2020-02-15,27.4,83.0,0.0,7.1
411,2020-02-16,27.3,84.0,0.5,7.9
412,2020-02-17,26.6,87.0,,9.1
413,2020-02-18,26.9,86.0,1.1,5.8
414,2020-02-19,26.5,87.0,0.0,7.9
417,2020-02-22,27.0,90.0,2.8,4.0
419,2020-02-24,27.2,85.0,,10.4
420,2020-02-25,27.4,86.0,3.5,10.4
421,2020-02-26,27.5,88.0,0.1,10.4
422,2020-02-27,27.3,88.0,0.0,8.1
423,2020-02-28,27.4,86.0,0.8,8.7
432,2020-03-08,26.3,88.0,3.0,2.1
433,2020-03-09,26.5,87.0,1.9,4.1
434,2020-03-10,27.9,84.0,,5.5
436,2020-03-12,27.2,86.0,0.0,6.2
437,2020-03-13,26.2,89.0,0.3,5.9
439,2020-03-15,27.6,82.0,1.5,2.8
440,2020-03-16,26.6,84.0,0.0,10.1
442,2020-03-18,27.4,80.0,0.0,7.2
444,2020-03-20,27.8,77.0,0.0,11.4
445,2020-03-21,27.8,79.0,0.0,9.9
447,2020-03-23,26.5,86.0,0.3,7.7
450,2020-03-26,27.7,83.0,0.0,9.8
451,2020-03-27,27.5,84.0,0.0,8.5
452,2020-03-28,28.0,78.0,1.0,3.2
453,2020-03-29,28.2,84.0,0.0,6.9
454,2020-03-30,27.6,84.0,3.0,7.6
456,2020-04-01,28.0,83.0,,10.5
457,2020-04-02,28.3,80.0,0.0,9.8
458,2020-04-03,28.5,83.0,0.6,10.6
459,2020-04-04,27.5,88.0,0.7,10.8
460,2020-04-05,27.2,87.0,2.1,9.2
461,2020-04-06,27.3,84.0,,2.6
462,2020-04-07,27.0,84.0,0.0,8.2
463,2020-04-08,26.9,86.0,,7.6
464,2020-04-09,27.2,82.0,1.5,5.3
465,2020-04-10,26.9,84.0,0.0,9.5
466,2020-04-11,26.1,85.0,2.7,8.3
467,2020-04-12,26.4,80.0,3.4,5.0
468,2020-04-13,27.2,80.0,0.0,5.0
469,2020-04-14,27.2,86.0,0.7,10.1
470,2020-04-15,27.4,84.0,1.3,8.3
471,2020-04-16,28.5,78.0,0.0,8.6
472,2020-04-17,27.8,84.0,0.0,5.5
473,2020-04-18,27.7,83.0,0.0,8.7
474,2020-04-19,27.2,84.0,0.0,9.8
476,2020-04-21,28.4,74.0,0.0,10.4
477,2020-04-22,28.8,76.0,0.0,10.7
478,2020-04-23,28.3,72.0,,10.6
479,2020-04-24,28.4,72.0,0.0,10.8
480,2020-04-25,28.6,73.0,0.0,10.4
481,2020-04-26,28.5,74.0,0.0,7.0
482,2020-04-27,27.9,74.0,0.0,7.8
483,2020-04-28,28.0,74.0,0.0,9.8
484,2020-04-29,27.5,74.0,0.0,9.3
485,2020-04-30,28.0,64.0,0.0,8.9
486,2020-05-01,27.6,75.0,0.0,10.0
487,2020-05-02,28.4,72.0,0.2,7.0
488,2020-05-03,28.2,73.0,0.0,9.5
489,2020-05-04,28.4,75.0,0.0,10.8
490,2020-05-05,29.1,72.0,,9.1
491,2020-05-06,28.9,70.0,0.0,8.7
492,2020-05-07,29.3,74.0,0.0,10.5
493,2020-05-08,29.3,73.0,0.0,8.4
494,2020-05-09,28.2,67.0,0.0,9.2
495,2020-05-10,27.5,72.0,0.0,10.7
496,2020-05-11,27.6,72.0,0.0,10.6
497,2020-05-12,28.3,68.0,0.0,9.7
498,2020-05-13,28.6,68.0,0.0,10.7
499,2020-05-14,28.0,71.0,0.0,10.4
500,2020-05-15,28.1,71.0,0.0,10.6
501,2020-05-16,28.7,72.0,0.0,9.4
502,2020-05-17,28.8,74.0,0.0,8.9
503,2020-05-18,29.2,74.0,0.0,9.1
504,2020-05-19,27.3,87.0,,8.9
507,2020-05-22,,,3.0,7.5
508,2020-05-23,26.6,89.0,1.2,4.6
510,2020-05-25,27.5,87.0,0.5,8.5
511,2020-05-26,28.1,84.0,0.0,5.9
513,2020-05-28,28.0,82.0,0.0,7.5
516,2020-05-31,28.2,78.0,0.0,9.1
517,2020-06-01,27.6,75.0,0.0,10.5
518,2020-06-02,27.6,74.0,0.0,10.7
519,2020-06-03,27.4,71.0,0.0,10.2
520,2020-06-04,26.7,75.0,0.0,10.7
521,2020-06-05,27.1,72.0,0.0,10.8
522,2020-06-06,26.9,76.0,0.0,10.8
523,2020-06-07,26.2,79.0,0.0,8.6
524,2020-06-08,27.0,74.0,0.0,7.8
525,2020-06-09,26.5,74.0,0.0,11.1
526,2020-06-10,26.1,78.0,0.0,9.9
527,2020-06-11,26.5,79.0,0.0,10.3
528,2020-06-12,27.1,78.0,0.0,10.8
529,2020-06-13,28.0,77.0,0.0,10.2
530,2020-06-14,28.0,80.0,0.0,6.6
531,2020-06-15,28.3,71.0,0.0,4.4
532,2020-06-16,27.2,74.0,0.0,10.9
